Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
APBB1IP,flexnonsynmtr,0.0814,146157,1,0.02,247,0.00169054186315508,12.0516,1.6576,87.6212
FGFBP1,flexnonsynmtr,0.0814,146157,1,0.02,247,0.00169054186315508,12.0516,1.6576,87.6212
CACNB4,flexnonsynmtr,0.0811,146157,1,0.02,246,0.00168369756411397,12.1006,1.6643,87.9794
LCNL1,flexnonsynmtr,0.0811,146157,1,0.02,246,0.00168369756411397,12.1006,1.6643,87.9794
CARD6,flexnonsynmtr,0.0808,146157,2,0.04,1375,0.00941091118153134,4.3858,1.0649,18.0633
UROS,flexnonsynmtr,0.0808,146157,1,0.02,245,0.00167685326507286,12.1501,1.6711,88.3405
EMC4,flexnonsynmtr,0.0808,146157,1,0.02,245,0.00167685326507286,12.1501,1.6711,88.3405
AK9,flexnonsynmtr,0.0806,146157,2,0.04,1373,0.00939722258344912,4.3923,1.0665,18.0899
XPA,flexnonsynmtr,0.0805,146157,1,0.02,244,0.00167000896603174,12.2,1.6779,88.7046
TSPAN15,flexnonsynmtr,0.0805,146157,1,0.02,244,0.00167000896603174,12.2,1.6779,88.7046
OTUD3,flexnonsynmtr,0.0805,146157,1,0.02,244,0.00167000896603174,12.2,1.6779,88.7046
JAKMIP2,flexnonsynmtr,0.0805,146157,1,0.02,244,0.00167000896603174,12.2,1.6779,88.7046
SEZ6,flexnonsynmtr,0.0803,146157,2,0.04,1370,0.00937668968632577,4.402,1.0688,18.1299
DEPDC1B,flexnonsynmtr,0.0802,146157,1,0.02,243,0.00166316466699063,12.2503,1.6848,89.0717
ZNF749,flexnonsynmtr,0.0798,146157,2,0.04,1365,0.00934246819112021,4.4183,1.0728,18.197
DNAH5,flexnonsynmtr,0.0796,146157,4,0.08,4759,0.0325720191366601,2.5827,0.9293,7.1776
IRGM,flexnonsynmtr,0.0795,146157,1,0.02,241,0.0016494760689084,12.3521,1.6988,89.8151
HOXC4,flexnonsynmtr,0.0795,146157,1,0.02,241,0.0016494760689084,12.3521,1.6988,89.8151
CNTROB,flexnonsynmtr,0.0792,146157,2,0.04,1359,0.00930140239687352,4.4379,1.0775,18.2782
LCT,flexnonsynmtr,0.079,146157,2,0.04,1357,0.0092877137987913,4.4445,1.0791,18.3054
ZNF184,flexnonsynmtr,0.0789,146157,1,0.02,239,0.00163578747082618,12.4556,1.7129,90.571
TTC3,flexnonsynmtr,0.0786,146157,2,0.04,1353,0.00926033660262684,4.4578,1.0824,18.3601
INSL6,flexnonsynmtr,0.0786,146157,1,0.02,238,0.00162894317178506,12.5081,1.7201,90.9537
C11ORF52,flexnonsynmtr,0.0786,146157,1,0.02,238,0.00162894317178506,12.5081,1.7201,90.9537
OR51A7,flexnonsynmtr,0.0786,146157,1,0.02,238,0.00162894317178506,12.5081,1.7201,90.9537
MCC,flexnonsynmtr,0.0786,146157,2,0.04,1353,0.00926033660262684,4.4578,1.0824,18.3601
TAS2R13,flexnonsynmtr,0.078,146157,1,0.02,236,0.00161525457370283,12.6142,1.7347,91.7289
MTX2,flexnonsynmtr,0.078,146157,1,0.02,236,0.00161525457370283,12.6142,1.7347,91.7289
IL2RA,flexnonsynmtr,0.078,146157,1,0.02,236,0.00161525457370283,12.6142,1.7347,91.7289
TSLP,flexnonsynmtr,0.0776,146157,1,0.02,235,0.00160841027466172,12.668,1.742,92.1215
SFXN1,flexnonsynmtr,0.0776,146157,1,0.02,235,0.00160841027466172,12.668,1.742,92.1215
RAD51AP2,flexnonsynmtr,0.0776,146157,2,0.04,1343,0.0091918936122157,4.4913,1.0905,18.4982
CEP57,flexnonsynmtr,0.0776,146157,1,0.02,235,0.00160841027466172,12.668,1.742,92.1215
KCNK1,flexnonsynmtr,0.0776,146157,1,0.02,235,0.00160841027466172,12.668,1.742,92.1215
DEFB119,flexnonsynmtr,0.0773,146157,1,0.02,234,0.00160156597562061,12.7222,1.7495,92.5175
