Gene,Collapsing model,P value,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
NBR1,flexnonsyn,0.0545332216185649,2102,252421,0.06002227,-0.0004727202,0.0390359872567558,0.0203039001910606,-0.000759115109694113,0.0788310896232056
OR1D2,flexnonsyn,0.0545577143874963,1019,253504,-0.06145289,0.00021173925,-0.0559396145610175,0.029098981288575,-0.112972841095892,0.0010936119738575
FETUB,flexnonsyn,0.0545706411560291,1865,252658,0.06388034,-0.00044809935,0.0414165197778712,0.0215454288286583,-0.000811945575943537,0.0836449851316859
CARF,flexnonsyn,0.0546712664478965,1830,252693,-0.0072533645,0.00008863503,-0.041790234529683,0.0217488861209176,-0.0844174707450795,0.000837001685713538
LRRC14,flexnonsyn,0.0548866238052768,1547,252976,-0.0723696115126514,0.000438251,-0.0453862489613836,0.0236413620306199,-0.0917226874405797,0.000950189517812526
GTF3C1,flexnonsyn,0.0549551198377936,4836,249687,0.010690575,-0.0002363601,0.0258312263353128,0.0134590932425577,-0.000548237132646689,0.0522106898032722
PDE1A,flexnonsyn,0.0549653661347435,1310,253213,-0.06196104,0.0001871184,-0.049282138019312,0.0256790318344042,-0.0996123549187903,0.00104807888016641
SNCAIP,flexnonsyn,0.0549597276748173,2996,251527,0.01887053,-0.0002659051,0.0326977134247805,0.0170371286464537,-0.000694603919968208,0.0660900307695292
ZCWPW1,flexnonsyn,0.0549775531892045,2242,252281,0.05534142,-0.0005515069,0.0377389475010607,0.0196653049638383,-0.000804525267188771,0.0762824202693103
ACP7,flexnonsyn,0.0551368845276738,1761,252762,-0.0562834,0.00049734105,-0.0425133114606993,0.0221676947667213,-0.085961401441869,0.000934778520470268
ASCL1,flexnonsyn,0.0551662480159622,1335,253188,-0.02118536,0.0000935592,-0.0487804705727763,0.025438646288725,-0.0986395382197613,0.00107859707420862
DSG1,flexnonsyn,0.0552059830041549,4188,250335,-0.021387295,0.0003545401,-0.027693188504246,0.0144441460698789,-0.0560033292179922,0.000616952209500088
MEIS3,flexnonsyn,0.0551727174727398,1988,252535,0.0102473765,-0.00008863503,0.0400251156911446,0.0208733498674643,-0.000886092839725926,0.0809363242220151
SEL1L3,flexnonsyn,0.055266349614246,2927,251596,-0.04147338,0.00044809935,-0.0330346962348796,0.01723442822059,-0.066813715478068,0.000744323008308748
TEDC2,flexnonsyn,0.0552854715380825,2089,252434,0.02865273,-0.000192042551910838,0.0390354357693164,0.0203666537079011,-0.000882661814949767,0.0789535333535826
GUCA2A,flexnonsyn,0.0554010812161673,462,254061,-0.1244837,0.0001871184,-0.0826990301915625,0.0431685030718002,-0.167308143838853,0.00191008345572817
RPS6KC1,flexnonsyn,0.0554251996895313,3351,251172,-0.03212095,0.00042840265,-0.0308800131083599,0.0161208143196297,-0.0624763788333375,0.00071635261661767
