Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
NPEPPS,flexnonsyn,0.0786,146157,2,0.0150375939849624,506,0.00346518380540185,4.3906,1.0836,17.7905
PRSS50,flexnonsyn,0.0786,146157,2,0.0150375939849624,506,0.00346518380540185,4.3906,1.0836,17.7905
SLC35F2,flexnonsyn,0.0781,146157,2,0.0150375939849624,504,0.00345148742672437,4.4081,1.0879,17.8615
SCGB1A1,flexnonsyn,0.0779,146157,1,0.0075187969924812,88,0.000602640661809018,12.5634,1.7373,90.855
MEP1B,flexnonsyn,0.0779,146157,3,0.0225563909774436,1086,0.00743713362187038,3.0799,0.979,9.6894
RET,flexnonsyn,0.0778,146157,4,0.0300751879699248,1756,0.0120254204788254,2.5475,0.9408,6.8985
LAD1,flexnonsyn,0.0775,146157,3,0.0225563909774436,1084,0.0074234372431929,3.0856,0.9808,9.7074
ATP7A,flexnonsyn,0.0774,146157,4,0.0300751879699248,1753,0.0120048759108092,2.5519,0.9424,6.9105
SEMA7A,flexnonsyn,0.0774,146157,3,0.0225563909774436,1083,0.00741658905385416,3.0885,0.9817,9.7164
DPY19L2,flexnonsyn,0.0771,146157,2,0.0150375939849624,500,0.00342409466936942,4.4435,1.0966,18.0053
DDX41,flexnonsyn,0.0769,146157,3,0.0225563909774436,1080,0.00739604448583794,3.0971,0.9844,9.7437
PGK1,flexnonsyn,0.0763,146157,2,0.0150375939849624,497,0.0034035501013532,4.4704,1.1032,18.1146
HS1BP3,flexnonsyn,0.0761,146157,3,0.0225563909774436,1075,0.00736180353914425,3.1116,0.989,9.7894
SMTNL1,flexnonsyn,0.0759,146157,3,0.0225563909774436,1074,0.00735495534980551,3.1145,0.99,9.7986
FAM160B2,flexnonsyn,0.0758,146157,4,0.0300751879699248,1740,0.0119158494494056,2.5712,0.9495,6.9628
CCDC80,flexnonsyn,0.0757,146157,4,0.0300751879699248,1739,0.0119090012600668,2.5727,0.9501,6.9668
